x	y	log_v3	cc
0	0	-2.30258509299405	1
0	10	-1.42711635564015	0
0	20	-0.713349887877465	0
0	40	0.585005021940242	0
0	50	-2.30258509299405	1
0	60	-2.30258509299405	1
2.5	0	-2.04022082852655	1
2.5	10	-1.66073120682165	1
2.5	20	0.53062825106217	0
2.5	40	0.993251773010283	0
2.5	50	-1.77195684193188	0
2.5	60	-2.30258509299405	0
5.4	40	1.7404661748405	0
5.4	50	1.19392246847243	0
5.4	65	-0.462035459596559	0
5.9	10	1.66770682055808	0
5.9	20	1.22377543162212	0
5.9	40	1.7227665977411	0
5.9	50	2.12823170584927	0
5.9	65	-1.13943428318836	0
6.4	10	1.82454929205105	0
6.4	20	2.88759011493429	0
6.4	40	2.94443897916644	0
6.4	50	1.66770682055808	0
6.4	65	-1.07880966137193	0
6.9	10	1.50407739677627	0
6.9	20	2.63905732961526	0
6.9	40	2.45100509811232	0
6.9	50	1.84054963339749	0
6.9	65	-0.755022584278033	0
7.9	10	1.45628673293993	0
7.9	20	2.484906649788	0
7.9	40	3.43398720448515	0
7.9	50	0.8754687373539	0
7.9	65	-0.85566611005772	0
8.4	20	2.83321334405622	0
8.4	50	0.53062825106217	0
8.4	65	-0.994252273343867	0
8.9	10	0.182321556793955	0
8.9	20	3.8722421354163	0
8.9	40	2.12823170584927	0
8.9	50	0.405465108108164	0
8.9	65	-0.7339691750802	0
9.55	0	-1.83258146374831	0
9.55	10	-2.30258509299405	1
9.55	20	1.82454929205105	0
9.55	40	-0.59783700075562	0
9.55	50	-2.30258509299405	1
9.55	60	-2.20727491318972	1
11.55	0	-1.96611285637283	1
11.55	10	-1.30933331998376	0
11.55	20	1.66770682055808	0
11.55	40	0.587786664902119	0
11.55	50	-1.56064774826467	1
11.55	60	-2.30258509299405	1
13.55	0	-1.27296567581289	1
13.55	10	-2.04022082852655	0
13.55	20	1.78170913337455	0
13.55	40	0.693147180559945	0
13.55	50	-1.6094379124341	1
13.55	60	-2.30258509299405	1
15.55	0	-2.30258509299405	1
15.55	10	-1.20397280432594	1
15.55	20	0.0953101798043249	0
15.55	40	0.53062825106217	0
15.55	50	-1.6094379124341	1
15.55	60	-2.30258509299405	1
17.55	0	-2.30258509299405	1
17.55	10	-1.20397280432594	1
17.55	20	1.30833281965018	0
17.55	40	1.6094379124341	0
17.55	50	-2.04022082852655	1
17.55	60	-2.12026353620009	1
19.55	0	-2.30258509299405	1
19.55	10	-1.17118298150295	0
19.55	20	1.66770682055808	0
19.55	40	1.41098697371026	0
19.55	50	-2.30258509299405	1
19.55	60	-2.30258509299405	1
21.55	0	-2.30258509299405	1
21.55	10	-0.967584026261706	0
21.55	20	1.50407739677627	0
21.55	40	1.02961941718116	0
21.55	50	-2.30258509299405	1
21.55	60	-2.30258509299405	1
23.55	0	-2.30258509299405	1
23.55	10	-2.30258509299405	1
23.55	20	0.470003629245736	0
23.55	40	-0.0304592074847086	0
23.55	50	-1.71479842809193	0
23.55	60	-2.30258509299405	1
25.55	0	-2.30258509299405	1
25.55	10	-0.23572233352107	1
25.55	20	0.470003629245736	0
25.55	40	0.955511445027436	0
25.55	50	-2.30258509299405	1
25.55	60	-2.30258509299405	1
27.55	0	-2.30258509299405	1
27.55	10	-2.30258509299405	1
27.55	20	-0.82098055206983	0
27.55	40	-0.653926467406664	1
27.55	50	-2.30258509299405	1
27.55	60	-2.30258509299405	1
29.55	0	-1.10866262452161	0
29.55	10	-0.7339691750802	1
29.55	20	0.182321556793955	0
29.55	40	-1.20397280432594	0
29.55	50	-1.77195684193188	1
29.55	60	-2.30258509299405	1
31.55	0	-2.30258509299405	1
31.55	10	-2.12026353620009	1
31.55	20	-0.301105092783922	0
31.55	40	-0.7339691750802	0
31.55	50	-1.89711998488588	1
31.55	60	-2.30258509299405	1
33.55	0	-2.30258509299405	1
33.55	10	-1.96611285637283	1
33.55	20	-0.0408219945202552	0
33.55	40	-0.891598119283784	0
33.55	50	-1.74296930505862	1
33.55	60	-2.30258509299405	1
35.55	0	-2.30258509299405	1
35.55	10	-2.30258509299405	1
35.55	20	0.0629747991613884	0
35.55	40	0.405465108108164	0
35.55	50	-1.89711998488588	1
35.55	60	-1.89711998488588	1
